"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 13 11:27:16 UTC 2023","Thu Jul 13 11:27:22 UTC 2023","5703","","Login Functionality","","","","login with wrong email format credentials read data from fixture",""
"failed","Thu Jul 13 11:26:59 UTC 2023","Thu Jul 13 11:27:05 UTC 2023","5706","","Login Functionality","","","","login with valid credentials read data from fixture",""
"failed","Thu Jul 13 11:26:53 UTC 2023","Thu Jul 13 11:26:59 UTC 2023","5848","","Login Functionality","","","","login with valid credentials",""
"passed","Thu Jul 13 11:27:34 UTC 2023","Thu Jul 13 11:27:38 UTC 2023","4074","","My Account Functionality","","","","Sample Test",""
"failed","Thu Jul 13 11:27:11 UTC 2023","Thu Jul 13 11:27:16 UTC 2023","5635","","Login Functionality","","","","login with invalid password credentials read data from fixture",""
"failed","Thu Jul 13 11:27:05 UTC 2023","Thu Jul 13 11:27:11 UTC 2023","5695","","Login Functionality","","","","login with invalid email credentials read data from fixture",""
